,Model,Data,precision,recall,f1-score,support
ewer,resnet18,Train,1.0,1.0,1.0,67.0
ferry,resnet18,Train,1.0,1.0,1.0,45.0
flamingo,resnet18,Train,1.0,1.0,1.0,45.0
flamingo_head,resnet18,Train,1.0,1.0,1.0,32.0
garfield,resnet18,Train,1.0,1.0,1.0,22.0
gerenuk,resnet18,Train,1.0,1.0,1.0,27.0
gramophone,resnet18,Train,1.0,1.0,1.0,37.0
grand_piano,resnet18,Train,1.0,1.0,1.0,68.0
hawksbill,resnet18,Train,1.0,1.0,1.0,68.0
headphone,resnet18,Train,1.0,1.0,1.0,30.0
hedgehog,resnet18,Train,1.0,1.0,1.0,44.0
helicopter,resnet18,Train,1.0,1.0,1.0,66.0
ibis,resnet18,Train,1.0,1.0,1.0,59.0
inline_skate,resnet18,Train,1.0,1.0,1.0,23.0
joshua_tree,resnet18,Train,1.0,1.0,1.0,43.0
kangaroo,resnet18,Train,1.0,1.0,1.0,63.0
ketch,resnet18,Train,1.0,1.0,1.0,82.0
lamp,resnet18,Train,1.0,1.0,1.0,39.0
laptop,resnet18,Train,1.0,1.0,1.0,57.0
llama,resnet18,Train,1.0,1.0,1.0,53.0
lobster,resnet18,Train,1.0,1.0,1.0,26.0
lotus,resnet18,Train,1.0,1.0,1.0,43.0
mandolin,resnet18,Train,1.0,1.0,1.0,24.0
mayfly,resnet18,Train,1.0,1.0,1.0,29.0
menorah,resnet18,Train,1.0,1.0,1.0,60.0
metronome,resnet18,Train,1.0,1.0,1.0,22.0
minaret,resnet18,Train,1.0,1.0,1.0,53.0
nautilus,resnet18,Train,1.0,1.0,1.0,42.0
octopus,resnet18,Train,1.0,1.0,1.0,24.0
okapi,resnet18,Train,1.0,1.0,1.0,25.0
pagoda,resnet18,Train,1.0,1.0,1.0,32.0
panda,resnet18,Train,1.0,1.0,1.0,28.0
pigeon,resnet18,Train,1.0,1.0,1.0,28.0
pizza,resnet18,Train,1.0,1.0,1.0,39.0
platypus,resnet18,Train,1.0,1.0,1.0,23.0
pyramid,resnet18,Train,1.0,1.0,1.0,39.0
revolver,resnet18,Train,1.0,1.0,1.0,53.0
rhino,resnet18,Train,1.0,1.0,1.0,44.0
rooster,resnet18,Train,1.0,1.0,1.0,39.0
saxophone,resnet18,Train,1.0,1.0,1.0,23.0
schooner,resnet18,Train,1.0,1.0,1.0,46.0
scissors,resnet18,Train,1.0,1.0,1.0,28.0
scorpion,resnet18,Train,1.0,1.0,1.0,62.0
sea_horse,resnet18,Train,1.0,1.0,1.0,38.0
snoopy,resnet18,Train,1.0,1.0,1.0,23.0
soccer_ball,resnet18,Train,1.0,1.0,1.0,41.0
stapler,resnet18,Train,1.0,1.0,1.0,30.0
starfish,resnet18,Train,1.0,1.0,1.0,58.0
stegosaurus,resnet18,Train,1.0,1.0,1.0,45.0
stop_sign,resnet18,Train,1.0,1.0,1.0,42.0
strawberry,resnet18,Train,1.0,1.0,1.0,29.0
sunflower,resnet18,Train,1.0,1.0,1.0,55.0
tick,resnet18,Train,1.0,1.0,1.0,35.0
trilobite,resnet18,Train,1.0,1.0,1.0,60.0
umbrella,resnet18,Train,1.0,1.0,1.0,54.0
watch,resnet18,Train,1.0,1.0,1.0,161.0
water_lilly,resnet18,Train,1.0,1.0,1.0,24.0
wheelchair,resnet18,Train,1.0,1.0,1.0,46.0
wild_cat,resnet18,Train,1.0,1.0,1.0,27.0
windsor_chair,resnet18,Train,1.0,1.0,1.0,39.0
wrench,resnet18,Train,1.0,1.0,1.0,26.0
yin_yang,resnet18,Train,1.0,1.0,1.0,41.0
accuracy,resnet18,Train,0.9996706734727482,0.9996706734727482,0.9996706734727482,0.9996706734727482
macro avg,resnet18,Train,0.9999348612023999,0.9999348612023999,0.9999348612023999,6073.0
weighted avg,resnet18,Train,0.9996706734727482,0.9996706734727482,0.9996706734727482,6073.0
